,Nose_x,Neck_x,RShoulder_x,RElbow_x,RWrist_x,LShoulder_x,LElbow_x,LWrist_x,MidHip_x,RHip_x,RKnee_x,RAnkle_x,LHip_x,LKnee_x,LAnkle_x,REye_x,LEye_x,REar_x,LEar_x,LBigToe_x,LSmallToe_x,LHeel_x,RBigToe_x,RSmallToe_x,RHeel_x,Nose_y,Neck_y,RShoulder_y,RElbow_y,RWrist_y,LShoulder_y,LElbow_y,LWrist_y,MidHip_y,RHip_y,RKnee_y,RAnkle_y,LHip_y,LKnee_y,LAnkle_y,REye_y,LEye_y,REar_y,LEar_y,LBigToe_y,LSmallToe_y,LHeel_y,RBigToe_y,RSmallToe_y,RHeel_y
461,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
462,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
463,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
464,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
465,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
466,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
467,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
468,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
469,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
470,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
471,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
472,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
473,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
474,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
475,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
476,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
477,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
478,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
479,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
480,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
481,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
482,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
483,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
484,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
485,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
486,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
487,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
488,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
489,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
490,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
491,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
492,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
493,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
494,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
495,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
496,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
497,274.518,300.513,280.498,271.494,265.503,322.515,320.489,292.511,293.495,279.487,238.51,254.521,308.506,260.537,0.0,275.469,277.488,0.0,294.507,0.0,0.0,0.0,252.521,0.0,258.496,159.473,131.502,137.48,103.48500000000001,81.511,129.461,83.48400000000001,60.497000000000014,65.50999999999999,70.50399999999999,42.53800000000001,0.4759999999999991,59.51400000000001,19.540999999999997,270.0,162.539,162.55599999999998,270.0,162.53300000000002,270.0,270.0,270.0,0.4590000000000032,270.0,0.464999999999975
